Unnamed: 0,ProdTaken,Age,CityTier,DurationOfPitch,NumberOfPersonVisiting,NumberOfFollowups,PreferredPropertyStar,NumberOfTrips,Passport,PitchSatisfactionScore,OwnCar,NumberOfChildrenVisiting,MonthlyIncome,TypeofContact_Self Enquiry,Occupation_Large Business,Occupation_Salaried,Occupation_Small Business,Gender_Female,Gender_Male,ProductPitched_Deluxe,ProductPitched_King,ProductPitched_Standard,ProductPitched_Super Deluxe,MaritalStatus_Married,MaritalStatus_Single,MaritalStatus_Unmarried,Designation_Executive,Designation_Manager,Designation_Senior Manager,Designation_VP
1923,1,26.0,2,23.0,2,3.0,3.0,1.0,1,5,0,1.0,17741.0,False,False,True,False,True,False,False,False,False,False,True,False,False,True,False,False,False
597,0,42.0,1,6.0,2,4.0,3.0,1.0,1,3,0,1.0,21062.0,True,False,True,False,True,False,True,False,False,False,False,False,False,False,True,False,False
4701,0,56.0,1,9.0,4,4.0,4.0,5.0,0,1,0,2.0,29654.0,False,False,True,False,False,True,False,False,True,False,True,False,False,False,False,True,False
4662,1,27.0,3,36.0,4,6.0,5.0,2.0,0,3,1,2.0,23647.0,False,False,False,True,False,True,True,False,False,False,False,False,True,False,True,False,False
2821,0,37.0,1,9.0,4,4.0,3.0,6.0,0,5,1,1.0,21221.0,True,False,True,False,True,False,False,False,False,False,False,False,False,True,False,False,False
2420,1,31.0,2,28.0,2,5.0,3.0,2.0,0,1,0,1.0,24852.0,True,False,True,False,False,True,False,False,False,False,True,False,False,True,False,False,False
1468,0,49.0,3,8.0,3,4.0,4.0,3.0,0,3,1,2.0,20390.0,False,False,False,True,False,True,True,False,False,False,True,False,False,False,True,False,False
1785,0,43.0,1,16.0,2,3.0,3.0,1.0,0,5,0,0.0,17455.0,False,False,True,False,True,False,False,False,False,False,False,True,False,True,False,False,False
4619,0,40.0,3,9.0,3,2.0,3.0,2.0,0,1,0,1.0,26558.0,True,False,True,False,False,True,False,False,True,False,False,False,True,False,False,True,False
2607,0,58.0,1,31.0,3,3.0,3.0,5.0,1,4,1,2.0,28117.0,True,False,True,False,False,True,False,False,True,False,True,False,False,False,False,True,False
2727,0,56.0,1,27.0,3,4.0,3.0,5.0,1,2,1,2.0,24093.0,True,True,False,False,False,True,True,False,False,False,False,False,False,False,True,False,False
401,0,56.0,3,12.0,2,2.0,5.0,1.0,0,3,1,0.0,28212.0,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False
4876,1,52.0,3,34.0,3,4.0,3.0,3.0,1,5,1,2.0,32704.0,True,False,True,False,False,True,True,False,False,False,False,True,False,False,True,False,False
2352,0,36.0,1,7.0,3,5.0,5.0,3.0,1,1,1,0.0,25252.0,True,True,False,False,True,False,False,False,True,False,True,False,False,False,False,True,False
586,0,24.0,1,15.0,2,4.0,4.0,2.0,0,5,1,0.0,17694.0,False,False,True,False,False,True,False,False,False,False,True,False,False,True,False,False,False
702,0,30.0,3,14.0,3,3.0,3.0,6.0,0,3,1,0.0,22264.0,True,False,True,False,False,True,False,False,True,False,True,False,False,False,False,True,False
2404,1,25.0,1,15.0,2,3.0,5.0,4.0,0,1,1,0.0,17096.0,True,False,True,False,False,True,False,False,False,False,False,True,False,True,False,False,False
